#,PM,SONG,Akane,Bee,Belb,Benji,Creme,Euphie,Frog,Gucci,Hikk,Hypno,Jack,Jules,Kappy,King,Nick,Niki,Poppy,RC,Ricki,Rona,Roxie,Sam,Sean,Skar,Steel,Tilt
19,26,A NINGÚN HOMBRE,11,8.5,,,7.5,9.5,8,9,,5,,10,,7.5,,,10,,8,,7,7,8.5,9,,7
19,29,la luz,7.6,6.5,,,7.5,9,11,9,,7.1,,8,,8.5,,,10,,7.5,,8.7,7.5,5.6,9,,8.5
20,2,Crucify,10,,,11,10,10,7,,,8.5,8.7,10,,,,,11,,,10,9,10,10,9,,10
20,4,Winter,9,,,7.5,10,10,8,,,7.3,7.4,10,,,,,8.5,,,8.5,8.4,11,8,10,,11
20,5,Precious Things,11,,,7,9,11,8,,,7.6,8.4,11,,,,,9.5,,,10,7,10,9.5,8,,9
20,6,Silent All These Years,10,,,6,8.1,10,9,,,9.2,11,9,,,,,8.8,,,10,8,10,10,11,,9
20,7,Sleep to Dream,10,,,6,11,10,7,,,9.5,8.2,10,,,,,10,,,10,10,10,9.8,9,,9.5
20,8,Venus as a Boy,10,,,10,7.9,10,7,,,11,6.5,10,,,,,10,,,7,10,10,8,10,,8.5
20,10,Big Time Sensuality,10,,,7,6.9,10,11,,,9.4,7.9,10,,,,,10,,,10,10,10,10,10,,10
20,15,The First Taste,9,,,7,9.8,9.3,9,,,10,7.7,10,,,,,10,,,9,11,10,10,8,,7.5
20,16,Sullen Girl,7,,,7.5,7.7,10,8,,,7.4,6.8,8.5,,,,,9,,,10,7,10,11,9,,7.5
20,20,Girl,9.5,,,7,7,9.5,6,,,10,7.2,8,,,,,10,,,11,8,10,9.5,8,,7.5
21,1,Ain't No Mountain High Enough,9,9,,,9.7,10,10,,10,10,11,9,,,,,10,,10,10,8,10,10,10,,10
21,2,Feeling Good,10,10,,,9,10,10,,11,11,10,10,,,,,10,,10,10,10,11,10,10,,10
21,7,A Change Is Gonna Come,10,10,,,9,10,8,,6,7.8,9.7,10,,,,,6.8,,7,10,11,10,11,11,,10
21,8,Stand By Me,11,10,,,10,10,10,,7.5,9.1,8,10,,,,,4,,9,8,10,10,8.5,10,,10
21,9,I Want You Back,9,11,,,10,9.3,10,,8,10,9.6,10,,,,,7.8,,10,10,9,10,7.6,10,,10
21,11,Mississippi Goddam,10,8.5,,,10,11,10,,8.5,10,10,10,,,,,10,,9,10,10,10,10,9,,9.6
21,19,Build Me Up Buttercup,9.5,10,,,10,8,10,,7.5,9.2,8.5,8.5,,,,,7,,11,7.5,8,9,8,8,,10
21,20,What a Wonderful World,9.5,10,,,10,10,10,,8,7.1,6,10,,,,,7,,7,11,10,10,8.5,10,,10
21,22,My Girl,10,7.5,,,11,10,10,,7.5,7,8.3,9.5,,,,,8,,10,10,10,10,9,10,,8.1
21,23,I Heard It Through the Grapevine,9.8,7,,,9,10,8,,5,9.8,10,11,,,,,9,,8,10,10,9,10,9,,9.2
21,36,You're All I Need to Get By,8,8,,,9,8.5,8,,7.5,9.1,8.6,10,,,,,8,,9,8,9.7,10,8,8,,11
21,49,Please Mr. Postman,9,9.5,,,10,7,11,,8,10,8.4,10,,,,,8.5,,6.8,8,10,8,6.1,7,,9.2
21,59,Anyone Who Had a Heart,8,7,,,8.8,10,8,,6.5,9.2,7.8,9,,,,,11,,6.8,8,10,10,5,7,,9.5
22,1,WAP,7.7,7.5,10,10,9.5,10,5,,11,11,6.5,10,,10,,,10,10,10,10,10,10,10,11,10,11
22,3,Mystery of Love,10,8.5,9.1,9,9.5,10,10,,5.5,10,8.5,8,,10,,,10,11,10,10,7,10,11,9,10,9
22,4,夜に駆ける,10,11,10,7,8.5,8.5,10,,10,10,7.2,10,,6.5,,,8,8.1,10,9,9,8,10,10,9.6,8.5
22,5,Little Dark Age,10,10,11,11,10,10,10,,7.5,10,7.1,9,,8,,,6,9,10,10,6.6,10,10,9,10,6
22,11,The Box,11,9.5,10,5,10,11,10,,8.5,8.7,10,10,,10,,,6,8.5,10,10,11,9,7,10,11,10
22,12,Yucky Blucky Fruitcake,10,7.5,10,8.3,10,10,1,,9,10,9,10,,10,,,11,10,6,10,6.7,10,10,10,7,10
22,13,Otherside,10,6.5,8.9,6,8,10,5,,4.5,10,7.8,7,,9.5,,,10,10,9,7,6.9,11,7,10,10,10
22,18,prom dress,7.5,5.5,7.9,6.5,9,9,11,,9,7.5,7.7,8,,9,,,7,9,10,10,7,6,8.2,8,8,6
22,24,Roses - Imanbek Remix,10,9,10,5,10,10,10,,9,6.8,11,6,,10,,,6,9,7,10,7,4,9,10,6,5.5
22,29,Just Did a Bad Thing,9.8,9,7.8,6,7,9.5,5,,2,10,6.9,8,,9,,,4,10,8.5,11,9,7.5,10,7,10,8.5
22,34,Big and Chunky,10,9.5,10,8,11,10,1,,10,10,7.2,8,,11,,,10,6,11,10,5,4,6,10,9.1,10
22,61,Party Girl,8,6,4.2,4,3,9,1,,6.5,6,5.8,11,,1.5,,,4,8,4,1,6,4,2,4,1,1.5
23,1,Run Away With Me,11,10,10,10,10,11,10,,10,11,10,10,,9,,11,9,11,10,10,10,,10,,,10
23,2,Into You,9,9.5,10,8,8.6,10,10,,11,10,10,1,,8.5,,9,10,9,10,10,7,,10,,,9.5
23,3,Style,10,11,11,8,11,10,10,,10,10,11,11,,4,,6,4,9,10,10,6.7,,11,,,10
23,4,Emotion,8.8,9,8.3,8.5,10,10,9,,10,9.4,8.8,10,,10,,9,9.5,10,8.5,11,9,,8,,,9.5
23,5,Blank Space,10,9,10,7,4,10,8,,10,10,8.6,8,,9.5,,9,7.5,10,11,6,9.9,,7.5,,,10
23,6,Your Type,10,10,9,7.5,9.4,10,11,,10,6.5,10,10,,0,,6,10,10,10,10,9.7,,10,,,10
23,7,New Romantics,10,10,9.8,11,10,10,6,,10,9.6,9.2,10,,10,,10,7.5,10,10,10,8,,7,,,7.5
23,8,Wildest Dreams,10,10,7.1,8,8.8,10,7,,10,9.7,7.8,10,,3.5,,7,7.7,10,10,9,5,,9,,,11
23,11,Making the Most of the Night,9,10,9.3,7,4.5,10,8,,9.5,8.4,10,8,,6.5,,10,11,10,8.5,9,7.5,,8.2,,,9.5
23,18,When I Needed You,10,5.5,5,7.5,10,9.5,10,,10,9.2,8,9,,11,,10,7,10,9,8,8,,8,,,7.5
23,28,LA Hallucinations,8.5,9.5,7.8,9.5,10,9.5,10,,9.5,6.8,9.6,7,,5,,8,10,10,8.5,10,11,,4.8,,,8
24,2,Houdini,10,11,,7.7,10,10,10,,8.5,10,6.6,9,9.5,8.5,,11,9,,,11,11,9,10,11,,10
24,3,1901,8.5,8,,6,10,10,10,,10,10,11,10,9.5,8.5,,10,8,,,9,10,10,9,10,,9.5
24,4,Lisztomania,10,9.5,,9,9.1,10,10,,9,10,8.7,7,9.5,10,,10,11,,,10,9.4,11,10,10,,10
24,5,Helena Beat,8.4,9,,10,11,11,10,,7,9.6,6.9,5,9.5,3,,10,8.5,,,10,8.5,9,10,9,,10
24,7,Sleepyhead,10,10,,10,10,9.2,10,,8,11,6.8,10,10,10,,10,8.5,,,10,8,9.5,11,10,,11
24,9,Little Secrets,10,10,,8,9.2,8.5,10,,9,9.1,7.2,10,11,11,,10,4,,,10,10,10,10,9,,9.5
24,10,Something Good Can Work,10,6.5,,7,9.7,9,10,,8,8.5,7.6,11,10,5,,10,10,,,9,9,8,6.5,10,,10
24,11,The Reeling,11,8,,8.5,10,10,10,,10,10,6.5,7.5,10,10,,10,8,,,10,10,9,9.5,10,,9
24,12,Cigarettes in the Theatre,7,8.5,,7,8.5,10,10,,11,9.2,7.2,10,10,9,,9,8,,,10,9,8.5,7.4,8,,7
24,19,To Kingdom Come,7,8.5,,11,8.6,8,10,,8,9.4,7.8,6,10,2.5,,9,8,,,9,8.8,7.5,10,9,,9
24,31,Broken Jaw,6.9,7,,9,9.4,9,11,,8.5,7.9,7.2,10,7.5,7,,7,10,,,10,7.5,8.5,8.7,7,,8
25,1,"One Shot, Two Shot",10,5,8.1,,9,10,9,10,11,10,,10,,,,,10,,,9,10,8.5,10,10,,
25,2,One Last Kiss,11,,4,,10,10,11,9,,10,,6.5,,,,,10,,,11,10,9,10,11,,9.5
25,3,traveling,10,,9.2,,8.8,10,8,9.5,,11,,10,,,,,10,,,10,,11,10,9,,10
25,5,Automatic,10,,11,,8,9.5,9,11,,7.9,,9,,,,,9.5,,,9,10,9,8.5,10,,
25,6,Kiss My Lips,10,,,,11,10,10,9,,10,,9,,,,,,,,7,11,8.5,8,9,,
25,18,Eat You Up,9.9,,10,,8,10,6,10,10,7.6,,11,,,,,10,,,10,7.5,8.5,6.5,9,,8.5
25,21,Play A Love Song,10,,3,,8,9,8,4,,,,7.5,,,,,,,,9,10,7,10,,,11
25,22,Atlantis Princess,9,11,,,7,9,8,5.5,,,,8.5,,,,,,,,8,,8,8.7,,,10
25,23,Flowing Cherry Blossoms,10,,8.5,,10,8.5,10,7.5,,9.8,,6,,,,,8,,,10,8,9,11,10,,10
25,38,Pink Blood,7.3,,,,6.3,11,6,7,,10,,3,,,,,9,,,9,,8.5,,,,
25,41,ID; Peace B,7.4,,,,7,10,7,6.5,,9.6,,5,,,,,11,,,9,8,9,9.5,5,,
26,1,I Disagree,10,10,10,7,10,10,10,6,10,9,6.7,10,,8.5,10,,10,7.5,,8,10,10,11,9,10,10
26,2,We Appreciate Power,9,8,10,9,10,9.5,8,9.5,10,10,,10,,9,10,,10,7,,9,,7.5,10,11,,8.5
26,3,Violence,10,10,10,7,11,9.5,11,9,9,7.4,10,11,,7,10,,11,9,,8,6,8,8,10,7,5.5
26,4,Bloodmoney,10,8,10,10,7,10,8,10,11,10,7.5,10,,9.5,11,,10,6,,10,8,11,10,10,7.3,10
26,5,Concrete,10,10,11,10,4,10,3,8,10,10,8.4,10,,10,10,,10,8,,9,9,10,10,10,11,10
26,6,Delete Forever,10,11,10,7.5,10,10,3,8.5,6,11,11,10,,8.5,5,,10,5,,11,6,10,10,7,10,11
26,8,Regulars,10,7.5,7,10,9.8,11,8,4.5,7,10,6.9,10,,9.5,9.5,,10,9,,10,7,8,9,8,10,10
26,14,Learning in Public,11,7.5,10,9,8.6,10,6,3,6.5,9.7,7,10,,10,4,,8,11,,9,7.7,9,5.5,10,6.7,8
26,17,June Gloom,10,8.5,7.5,8,6.5,9.7,10,2,7.5,9.3,7.1,4,,11,3.5,,7,7.8,,7,11,8,8.8,8,7,7.5
26,21,My Name Is Dark,10,4,10,11,10,10,6,11,5.5,7.4,6.3,6,,10,3,,10,6,,3,6,7,8.6,10,10,3
27,1,S&M,11,8,10,11,10,11,11,,10,11,11,,,9,,,10,8.5,,11,,,10,10,,10
27,2,Teenage Dream,10,10,6,7,6.1,10,8,,11,10,7.6,,,10,,,10,5,,10,,,10,10,,9.5
27,6,Your Love Is My Drug,10,11,7.8,6,9.2,10,8,,10,9,7.7,,,10,,,10,8.5,,8,,,8,8,,10
27,7,The One That Got Away,10,8,9.2,7,9,9.3,10,,10,10,6.9,,,7.5,,,8.5,6,,9,,,10,9,,11
27,11,Man Down,9.5,9,10,8,9.8,10,9,,8,9.7,8.8,,,3,,,11,8,,10,,,10,11,,6.5
27,13,Take It Off,9.5,8,10,6,7,10,9,,9.5,10,10,,,10,,,10,9.5,,10,,,11,10,,4
27,17,What's My Name?,10,9.5,9.1,5,11,9.5,10,,7,9.5,10,,,7,,,9,6,,6,,,6.8,10,,6.5
27,24,Blah Blah Blah,10,8.5,8.2,6,9,9.5,10,,10,10,4.8,,,11,,,10,0,,7,,,5,9,,7.5
27,35,Circle The Drain,7,7,10,8,8.1,9.5,4,,8.5,9.5,8.6,,,10,,,6,11,,10,,,10,7,,9
27,26,Blind,9.5,6,11,7,6.5,9,5,,9,7.4,6.8,,,6.5,,,7,7.5,,7,,,6,7,,5.5
28,2,Impossible Soul,11,,11,11,10,11,11,11,,6,8.7,8,,10,,,11,11,,11,,,10,11,11,6
28,3,On Melancholy Hill,10,,4,9,9,10,10,9,,9.2,11,10,,10,,,10,10,,10,,,10,10,10,11
28,4,I Want To Be Well,10,,10,9,9.8,10,8,10,,11,7.5,7,,10,,,10,10,,10,,,11,10,9.5,8
28,6,Age of Adz,9.9,,10,9,10,9,9,10,,10,7.5,10,,11,,,10,10,,10,,,7.1,9,10,9
28,15,Rhinestone Eyes,7.5,,2,6.5,11,9.5,10,7.5,,8.6,6.8,10,,9,,,9,10,,9,,,8.2,10,10,9
28,19,Superfast Jellyfish,10,,1,,7.2,,10,4,,10,8.4,11,,10,,,9.5,10,,10,,,10,,10,8
29,1,What's Going On,10,9,,,11,10,11,,,8,10,10,10,,,,8.5,11,9,8,10,10,10,11,,11
29,2,Living For The City,11,7,,,9.3,10,9,,,8.1,7.1,10,10,,,,8,10,10,10,10,11,11,10,,10
29,4,Higher Ground,10,11,,,10,10,10,,,8.2,7.7,11,9.5,,,,10,10,10,9,10,10,9,10,,10
29,5,Pusherman,10,8.5,,,9,10,7,,,8.8,11,6,10,,,,11,9,7.8,8,10,10,10,10,,10
29,7,Little Child Runnin Wild,8.5,9.5,,,7.8,10,9,,,11,7.4,10,9,,,,10,10,8,8,10,10,10,8,,9.5
29,8,Superfly,9,8.5,,,9.4,11,10,,,7.9,7.4,9,10,,,,10,10,6.5,10,10,10,8.7,8,,10
29,10,Don't You Worry 'Bout A Thing,10,6,,,10,9,9,,,8.5,7.8,3,11,,,,10,7,11,11,10,10,8,8,,7.5
29,13,He's Misstra Know-It-All,10,7.5,,,7,10,8,,,7.7,7.6,9,10,,,,8,9,8.5,8,11,10,9.2,8,,10
